sentence1,sentence2,score
A young girl riding a brown horse.,A woman in riding a brown horse.,0.76
Two women in the kitchen looking at a object.,Three men in suits sitting at a table.,0.0
Two women posing with a baby.,A woman poses with a baby.,0.44
A group of people sitting around a table containing food.,Four people are sitting around a living room with.snacks.,0.56
A blue motorcycle is parked on the sidewalk.,A blue moped parked on the sidewalk.,0.8
A red double decker bus on a city street.,A red double decker bus driving down a street.,0.96
Two trains inside a train station.,The train sits at the train station.,0.48
A man riding a white horse.,A woman with a white horse.,0.44
A man and two women smiling at the camera while sitting on a blue sofa.,A man and women smiling at the camera while standing in a kitchen.,0.44
A large cruise ship in harbor with trees behind.,A cruise ship docked at a coast.,0.68
Two cows crossing a road intersection.,Two cows cross a paved street.,0.76
Several cows grazing on the median by the road.,Five cows grazing on a patch of grass between two roadways.,0.8
A black cow and a brown cow stands in a plain in front of an uprooted tree.,A black cow and a brown cow standing in front of a small copse of trees in a field.,0.84
Red double decker bus driving down street.,A double decker bus on a city street.,0.72
Tan cow with ear tags on a grassy field.,Person in grassy field tending to sheep.,0.24
A close up of the front end of a purple and white motor cycle.,Close up of the rear of a red sports car.,0.24
Two women shopping at a clothing store.,Two women in a clothing store.,0.92
A group of people sitting at a restaurant table.,Group of people sitting at table of restaurant.,0.92
A close-up of a brown horse's head.,A close-up of a yellow school bus.,0.0
A person in a red cap standing next to a brick support beam.,A brown horse is standing on grass and scrub.,0.0
A bay foal is walking next to its mother in a grassy field.,Close-up of young horse walking next to a larger horse.,0.52
A women standing next to a brown cow.,A women in glasses stands next to a cow in a field.,0.76
A dog peaks out the back of a truck.,A dog is peeking out of the back of a van.,0.72
Woman in blue shift dress cutting into food.,A woman in a blue dress cuts a cake.,0.76
The black and white cat is looking up at the camera.,"A grey, black, and white cat looking at the camera.",0.72
Two brunette girls sit atop a red an yellow motorcycle with a side car.,A couple posing on a red and yellow motorcycle.,0.64
A small white cat standing in a sink.,Grey and white cat sitting in bathroom sink.,0.72
A man on the back seat of a red tandem bicycle.,A man is alone on the back of a tandem bicycle.,0.72
A computer on a desk.,A computer operating on a desk.,0.8
A small child smiling at the camera.,A small child sits on a cement wall near white flower.,0.32
A little bird floating in the water.,A duck floating in the water.,0.48
A white bus with the word Julia is near water and a big ship.,A white bus with water and a barge in the background.,0.76
Old blue and white train on tracks.,A blue train in a mountainous area.,0.52
Yellow boat on a beach.,A yellow boat on shore.,0.8
A kitchendiner with papers laying on the blue clothed dining table.,A small kitchen and a cluttered table with a blue table cloth.,0.68
Train in a station.,Trains inside an indoor station.,0.76
A gray cat is sitting on the window ledge looking at the camera.,The cat is standing on the window sill looking at the camera.,0.8
Man playing guitar while sitting down.,Red and white bus driving down road.,0.0
Red double decker bus driving down a street.,A double decker bus on a city street.,0.84
Three cows are grazing in a grassy field.,Three cows grazing in a field.,0.92
The brown train is sitting on the railroad tracks.,The white train is sitting on the tracks.,0.45
A black and white horned cow standing in a field.,A black and white photo of a cat sitting on a sofa.,0.08
A tiny blonde child in a blue dress sits on a table near her mother.,A young blonde girl wearing a helmet sits with a red bicycle behind her.,0.32
A group of people sitting at a restaurant table.,A group of people sitting around a table on a porch.,0.52
A black and white cow in a pen with hay.,A black and white cat lies in the dirt.,0.08
"A red, double-decker bus.",Front and left side of a red double decker bus.,0.64
A close-up view of a horse's head.,A side view of a horse's head.,0.64
An old fashioned wooden sailing ship in the ocean.,A wooden yacht on the ocean.,0.64
A sheep standing in a mountainous area.,A large sheep standing on a hill.,0.88
A white plane on the runway.,A white airplane is on a runway.,0.96
A tan puppy being petted.,A tan puppy being held and petted.,0.88
Elegant dining room with wood furniture.,An elegant pink dining room with wooden furniture.,0.76
A women laying across two men sitting on a sofa.,Two men in shorts are sitting on a sofa.,0.4
two motorbikes on a dirt track.,Two dirt bikers riding over dirt hill.,0.72
The black and white cat is looking up at the camera.,A black and white dog looking at the camera.,0.44
A gray cat with green eyes looks at the camera.,A grey cat with green eyes looking into the camera.,1.0
Two lambs stand on a grassy hill.,Two dirt bikers riding over dirt hill.,0.04
A man in white with a wine bottle and a woman in a red turtleneck with a white vest.,A man and woman posing on a field with a bottle of wine.,0.6
A lone cow sits in the cold of the yard.,a black and white cow standing in the field.,0.36
A double decker bus drives on a city street.,A red double decker bus driving down a street.,0.72
Large black and white cat resting on a windowsill.,A small white cat sitting in a sink.,0.36
Boy feeding a sheep.,A boy feeding a sheep hay.,0.84
A girl in a black desktop holds up an open box of Corn Flakes and a carton of milk.,A girl wearing black shorts and boots is standing next to a blue motorcycle.,0.0
a close up of a small cactus in a pot.,a close up of a woman holding a white puppy.,0.16
The white sheep is standing on the green hill.,A sheep stands on a hillside.,0.8
A black and white bird on a body of water with grass in the background.,A bus is on a road with a ferris wheel in the background.,0.0
A wooden bicycle with an awning.,A group of elderly people sitting around a dining table.,0.0
A black and white photo of a dilapidated wooden fence.,A black and white photo of an old wooden fence near a dirty street.,0.9
Two brown horses standing in a green meadow.,A brown horse stands in tall grass.,0.52
Two men wearing bike helmets.,Two men stand with their bicycles outside a shop.,0.32
A man playing a video game in a store.,Man playing game in a store.,0.68
A group of people sitting around a table on a porch.,A group of people sitting around a table with food on it.,0.72
A young girl wearing a bike helmet with a bicycle in the background.,A women holds a small dog on a leash with chairs in the background.,0.0
the back of a stop sign with many stickers on it.,The back of the stop sign is adorned with stickers.,1.0
A bicycle is parked outside a bookstore.,A green bike parked outside a book store.,0.8
a brown double decker tour bus on a street with a ferris wheel behind it.,A double-decker bus driving in front of a ferris wheel.,0.88
A black and white chair sitting in front of a brick wall and a window with a bamboo plant in a vase.,A black headed sheep covered in thick white wool stands in a pasture with other sheep.,0.12
A man in a black uniform on a white horse.,A man in a tux on a white horse.,0.72
Two women stand in a living room with a black dog.,Two women standing in a living room with a black dog looking towards the camera.,0.8
Two people paddling a red canoe are reflected in the still water.,Two people paddling in a red canoe with trees in the background.,0.64
A close-up view of the headlights of a blue old-fashioned car.,Close up of the headlights on a blue car.,0.8
Cars driving near a model building.,Vehicles driving infant of an ornate building.,0.48
A blue and orange airplane flying with its landing gear down.,A red and blue plane flying with its landing gears down.,0.52
A black and white cat lying on a blanket.,A black and white cat sleeps on a purple blanket.,0.8
A building with a temporary sign over the entrance to its parking lot.,Road with the rear image of the tail lights of a bus.,0.04
A group of people sitting around a table containing food.,A group of people sitting around a table on a porch.,0.68
A man and women sitting on a sofa holding a small baby.,a woman sitting on a sofa holding a baby.,0.64
A black and white cat lying on a blanket.,A black and white cat sleeping on its side on a purple blanket.,0.6
A black and white photo of a love seat.,A black and white photo of a bicycle.,0.36
A living room with a dining table in the background.,View of a living room with a dining room in the background.,0.84
A red and gray train is going through a tunnel.,A red and gray train travels through a tunnel amongst the trees.,0.85
Red double decker bus with hood open.,An old Red London double decker bus with its hood raised.,0.84
A man riding a white horse.,A woman leading a white horse.,0.36
View of a living room with a dining room in the background.,A living room with large sofas and a dining table in the background.,0.76
An orange kitten lay on a leather couch.,Young couple sitting on a black couch.,0.16
A person wearing a bike helmet talks on a cell phone.,A person wearing a helmet rides a bike near a white structure.,0.6
A subway train pulling into the station.,A white train pulling into a station.,0.72
A bicycle is parked by a shop.,A green bike parked outside a book store.,0.76
Two men standing on beach.,Two women standing in front of tour bus.,0.0
Long-haired black dog standing in grassy field.,A blue jay standing in a grassy field.,0.28
A small desk with chair near a laundry closet.,A room with tan walls and a washer and dryer.,0.04
Red double decker bus driving through the streets.,Red double decker bus driving down a street.,0.92
A goose flapping its wings in a body of water.,A black swan flapping its wings on the water.,0.6
Boy laying on couch with dog.,The boy is lying on a couch with a puppy.,0.88
A black and white image of a cat laying on a rug.,Black and white picture of a cat laying on a rug.,1.0
A large jet on the ground at the airport.,A large airplane parked at the airport at night.,0.72
Two women are sitting in a cafe.,Two men catching a fish in a swamp.,0.0
Eight bottles of Harp lager lined up on the floor.,Eight bottles of Harp beer lined up on a wooden floor.,0.8
A small child smiling at the camera.,A cat looking at the camera.,0.28
A woman riding a brown horse.,Person dressed in blue riding brown horse.,0.52
photo of a television screen showing a movie.,The wall-mounted flat-screen TV is showing a movie.,0.64
A bird perched on a flowerpot.,Bird perched on a flowerpot beside a stucco wall.,0.84
White cat sitting inside of a sink.,Grey and white cat sitting in bathroom sink.,0.68
Young woman in riding gear on top of horse.,Young girl in riding gear on a horse.,0.88
Two people are sailing a small boat.,Two women in a sailboat.,0.76
A small bird on a tiny branch.,A small bird perched on an icy branch.,0.6
Two animals sitting on a rock.,Two eagles sitting on a long branch.,0.32
Two cats sit on the back of a couch looking out the window.,Two cats are sitting on the back of a couch and looking out the window in a sea photo.,0.84
Two young women shear a sheep.,Two women sheering a sheep.,0.88
The young rider takes a ride on the brown horse.,A young female rider on a brown horse.,0.76
Six people are seated at a restaurant table and looking into the camera.,A group of people sitting at a restaurant table.,0.6
Little white lamb with nose to wood.,A white lamb with its nose against a wooden box.,0.76
A young girl riding a white and grey horse.,a little girl is riding a white and grey horse.,0.92
A black dog stands next to materials at a construction site.,A black dog standing in a room being constructed.,0.64
A bird is flapping its wings in the water.,A black swan flapping its wings on the water.,0.72
A black and white cat lying on a blanket.,A black and white cat laying on a cat bed.,0.75
Young woman in riding gear on top of horse.,The woman is riding on the brown horse.,0.76
A plane being readied for take-off.,A small turboprop plane being loaded on the tarmac.,0.68
A white leather couch with a purse and throw blanket on it.,A television with a show on.,0.0
A kitchen with wooden cabinets and furniture.,Kitchen with wooden table and cabinets.,0.84
The cat is attacking a corn husk broom.,Grey and white cat sitting in bathroom sink.,0.16
A couple holds a baby.,Couple with newborn baby.,0.84
A small bird eating from the feeder.,Bird eating from a bird feeder.,0.85
Close up of a white sheep with a black head.,A close-up of a sheep with a black head.,0.8
A young boy laying on a sofa with a dog.,A small boy laying on a sofa with a dog.,1.0
A red bird is perched in a tree.,A small red and grey bird perched in a tree.,0.64
Two buses parked on a street.,Yellow scooter parked in an alley way.,0.08
A black and white dog looking at the camera.,"A grey, black, and white cat looking at the camera.",0.2
A train is on the railroad tracks.,A train on the train tracks.,0.96
Large silver locomotive engine in a shed.,A close-up of a silver train engine with a red stripe.,0.6
A women sitting at a table drinking with a basketball picture in the background.,A woman in a sari drinks something while sitting at a table.,0.52
A green steam engine traveling on the railroad tracks.,A black steam train traveling on the railroad tracks.,0.6
A small red car on top of a semi truck.,Red sports car on top of white semi truck.,0.8
The man poses for a photo in front of the train.,A man stands on a platform in front of a silver train.,0.68
A bicyclist in black on a black and red racing bike.,A cyclist in black and white lira speeding past spectators.,0.68
A kitchen sink and countertop with bowls on shelves.,A small kitchen with items stacked on the shelves and on the counter.,0.76
A television in a messy room with several bookcases.,"A room with a television, stereo and bookshelf.",0.64
A black and white cat sleeping on its side on a purple blanket.,A black and white cat laying on the ground in the sun.,0.56
A woman riding a bicycle on a large concrete area.,A women riding a mountain bike on a large concrete area.,0.76
Two cows standing in a large field.,The cow is grazing in a field.,0.56
A bald man touches the nose of a black horse on the other side of a fence.,A bald man with a beard pets the nose of a black and white horse at the fence.,0.68
A man is standing next to a yellow sports car.,A man stands next to a yellow Corvette.,0.8
a black and white photo of cows in their stalls.,A black and white photo of cattle at a trough.,0.64
Double decker bus with the London Eye ferris wheel in background.,a brown double decker tour bus on a street with a ferris wheel behind it.,0.84
A yellow and black bird eats from a bird feeder.,A flock of birds flying over a body of water.,0.12
A man stands in front of a train.,A man stands on a platform in front of a silver train.,0.76
A small plane parked at an airfield with a cloudy sky overhead.,A small white plane parked in an airport on a cloudy day.,0.92
A boat is on the water near a small plane.,A boat is in the water and a small airplane is on the dock.,0.68
A man riding a white horse in an arena.,A domestic animal stands in a pen.,0.12
A Macintosh computer sitting on the floor.,a computer on the floor.,0.84
A black and white cat is sitting on a brown chair looking up.,A dog sitting on a yellow chair next to a green dumpster.,0.08
sheep standing in afield.,A large dog stands next to a sheep in a field.,0.56
Group of elderly people sitting around a table.,A group of elderly people pose around a dining table.,0.68
Three women with brown hair are smiling.,Three women in Indian dresses in a crowded room smiling.,0.56
A black and white photo of an empty train station.,A black and white photo of a cat sitting on a sofa.,0.32
Two dogs in a fenced kennel look ahead.,Two girls on a guy posing on the bow a boat.,0.0
A black and white cow looking through the fence.,A black and white cat laying on the ground in the sun.,0.12
Several people on motorcycles in a market square.,People ride mopeds in an urban setting.,0.36
A close-up of a sheep in the grass.,"A close-up of a lamb with its ear tagged, standing on grass.",0.36
Domestic cat laying on back of cat litter.,Tan domestic cat under black tarp.,0.4
Two green birds fly towards a wooden telephone pole.,Two green birds flying above the telephone wires.,0.64
A person sitting on a motorcycle while a man stands by.,A man stands next to a helmeted man on a motorcycle in an empty parking lot.,0.6
Three cows grazing in a field.,Two cows graze in a field.,0.52
A blue bird perched on a gloved hand.,A bird is perched on a person's gloved hand.,0.88
A baby holds a ketchup packet.,A baby in a highchair holds a ketchup packet.,0.8
A close-up view of a horse's head.,A close-up of a brown horse's head.,0.84
A train is at a train station.,a train in a station.,1.0
A dark brown horse standing in a field.,Horse standing in a field.,0.72
A small cat laying on a wooden beam looking up at the camera.,The small dog is wearing a sweater and looking up at the camera.,0.16
The black bird is sitting on the ground.,The bird is sitting on the branch.,0.5
A small brown birds is eating from a bird feeder hanging from a tree.,A small red and grey bird perched in a tree.,0.4
A pair of dogs playing with a purple ball.,Two dogs play with purple football.,0.88
a bird lands in the water.,a boat floats in the water.,0.12
Three children stand on or near a fence.,The three children are standing on and by a fence.,0.92
A black dog emerges from the water with a white ball in its mouth.,a black dog walking out of the water with a white ball in his mouth.,0.96
A girl in a purple shirt and pink headband posing,A young girl wearing a hat and blue jeans is on a swing.,0.08
A brown dog digging a hole in front of a plant,A group of people walking on the side of a railroad track.,0.0
The brown and white dog swims in a swimming pool.,A brown and white dog swims in a backyard swimming pool.,0.92
A boy in a red sled is riding down the hill.,A multicolour dog in a red collar crouching on the grass.,0.0
A black and brown dog runs through the woods.,A dog running through the woods.,0.8
The two dogs are running on the grass.,Two dogs are playing in the grass.,0.88
A young girl holds up a peace sign.,A little girl holds onto a pole on a city street.,0.12
A man is hanging by a line off a cliff above water.,Man sitting by himself on a pier with a bottle of water.,0.12
A man crouching and holding a camera.,The crouching man is holding a large camera.,0.92
Man riding a bicycle down a narrow path.,A man riding a unicycle down a paved road,0.52
A man wearing an orange coat speaks to another as they walk in the snow.,A man and woman dressedin old fashion clothing sit outside at a table.,0.12
A dog is jumping up in the air to catch a toy.,A black dog jumps in the air to catch a toy.,0.8
A brown dog laying on a blue cover.,A person is diving into clear blue water.,0.0
The two boys play in the field.,The two people have their heads covered with scarves.,0.0
The two dogs are running through the grass.,Three dogs run in the snow.,0.44
A boy with a broken arm is resting in a bed.,A boy with a broken arm is sleeping.,0.8
boy doing tricks on a skateboard,A boy does a trick on a skateboard.,0.96
Three dogs playing in the snow.,Three dogs are playing in the water.,0.52
A little girl with a ribbon in her hair is picking her nose.,A little girl in a purple shirt and helmet is riding on a scooter.,0.24
A young girl going down a tube slide.,A young girl swinging off a tire swing,0.36
"Many people are in the bicycle racing, including one man in a three-wheeled bike.",A man riding on a three-wheeled wheelchair.,0.52
A group of people are wearing bunny ears.,A group of people ride in a race,0.16
"A dog in a ""superman"" shirt sleeps on a blanket.",A brown dog in a Superman shirt is laying on a blue blanket.,0.8
The white and brown dog runs across the grass.,A brown and white dog runs across the grass.,0.96
A brown dog is resting its paws on a laptop keyboard.,A dog sits with its paws on a laptop computer.,0.76
A young girl with glasses sits and holds two American flags.,A girl in glasses is looking over two American flags near a wooded area.,0.52
A small white and brown dog is jumping over a horizontal pole.,a brown and white dog jumping over a red and yellow pole,0.6
Two dogs are running through a grassy area.,Two dogs running through a grassy field.,0.96
A man is swinging on a rope above the water.,A man in warm clothes swinging on monkey bars at night.,0.32
Two Asian men and Asian woman sit in black massage chairs.,Two Asian men and a woman are relaxing in massage chairs.,0.92
A girl playing is a pile of colorful balls.,A little girl plays in a pit of colorful balls.,1.0
An older man is standing outside in front of a truck.,A woman dressed in green is roller skating outside at an event.,0.0
Smiling man with reflective classes.,A gentleman smiling and showing his reflective sunglasses.,0.92
five people standing on a sidewalk,Five people on a sidewalk.,0.96
The white dog runs across the snow.,A white bear walks along snow-covered ground and casts a shadow on the snow.,0.28
A young boy in a brown jacket playing with snow.,Two dogs are playing in the snow.,0.24
A man picking up a big rock.,A woman picking up a large rock.,0.48
A white and brown dog is running over grass.,A brown and white dog is running across the grass.,0.92
Man is carrying a tool box down the sidewalk.,A woman is riding a blue bicycle in a park.,0.0
"A man wearing a t-shirt that says ""Gigolo"" stands at the counter talking to someone.","A man wearing a shirt that says ""Gigolo"" is standing at a front desk area with his back to the camera.",0.68
A tent and a campsite in a sunlit forest.,A white dog on a beach is carrying a stick in its mouth.,0.0
Two large dogs running in some grass.,Two brindle dogs running in the grass.,0.84
A dog swimming with a stick in it's mouth.,A dog running with a stick in it's mouth.,0.52
A man playing fetch with two brown dogs.,A woman plays with a brown dog.,0.47
a dog is running across the sand with a stick in it's mouth.,A dog is running through a creek with a stick in its mouth.,0.72
A man is standing in water near a waterfall.,A man wades in the water and watches a water fall.,0.68
A tan dog jumps up to catch a tennis ball.,A red dog jumps an catches a tennis ball in its mouth.,0.6
The man is jumping into the water.,The man is up in the air.,0.48
A woman in a black shirt stands in front of bananas at a fruit stand.,a woman wearing black stands in front of a pickup truck.,0.48
A child is jumping into a swimming pool.,A dog jumping into a swimming pool.,0.24
A little boy jumping from one chair to another.,A young boy jumping from one chair to another in his house,0.96
"A girl swings her long, wet hair in a lake.",A person riding a dirt bike.,0.0
Two dogs playing by the shore.,Two dogs playing in the snow.,0.56
A little girl walks on a boardwalk with blue domes in the background.,A man going over a jump on his bike with a river in the background,0.0
"Two women sitting on a bench, their faces obscured, with one woman carrying an inflatable tiger and the other woman in a Disney snow white costume.",A girl sits on a bench holding an inflatable tiger next to another girl in a colorful outfit.,0.44
A guy and two girls are smiling at the camera.,"Three dogs, one white and two brown, are running together on a field of grass.",0.0
A dog swimming with a stick in it's mouth.,Dog swimming in the water with a stick in its mouth.,1.0
A black poodle plays in the snow.,A black poodle frolics in the snow.,1.0
two girls holding up a scary movie flyer,Two girls holding sacks are standing in a field.,0.28
Three boys are running on the beach playing a game.,Two young boys and one young man run on a beach with water behind them.,0.64
A girl is wearing a purple sash and matching skirt.,A group of girls stands wearing jean skirts and superman shirts.,0.32
a man wearing a grey jacket standing on the side of a street.,A boy wearing a blue life jacket is holding onto the side of a green boat.,0.12
A brown and black dog is jumping to catch a red ball.,A brown and black dog jumps for a red ball.,1.0
The tan dog runs through the leaves.,The white dog runs through the ocean.,0.36
A white and black dog is jumping into a pool.,A woman in a black apron is standing in front of a mirror.,0.0
A black and white dog is carrying a stick in its mouth.,The black and white dog has a stick in his paws.,0.6
A deer jumps a fence.,A deer jumping over a fence.,1.0
A little girl holds a wooden stick.,A little girl swimming in a pool.,0.44
A black dog jumps through the water.,A dog walks through the snow.,0.48
A group of people in front of a red fire truck.,A group of people are standing around a red fire truck.,0.84
a boy jumps into the blue pool water.,The young boy is jumping into the pool on his belly.,0.68
A blonde dog is catching a ball in its mouth in the snow.,A little blonde girl is sitting on a green chair.,0.0
Three children and playing and laughing on the floor.,Three children playing on the floor.,0.76
A man sits with fishing poles near a body of water.,A man sits on a rock next to a folding deck chair and a fishing pole.,0.68
A woman and a dog standing in the grass.,A man carries a sign while standing in the rain.,0.0
A man in a blue shirt is running in a stadium field.,A man wearing a blue hat and shirt is riding a white horse.,0.2
A black dog running through water.,A black dog is running through some water.,0.96
Children jumping on a trampoline.,A man is sledding on an orange slide.,0.0
A large brown dog is crouching in a grassy field.,A brown dog is running in a field.,0.6
A dog runs through the grass.,A dog runs through the snow.,0.44
A skier speeds through the snow.,A brown dog carrying a Frisbee runs through the snow.,0.04
Two people are playing golf on a golf course.,Two people are on a golf course playing golf.,1.0
A boy and a girl playing on the beach.,A dog playing in the waves with a ball.,0.16
The child in the red coat laid in the red mat.,The toddler is ready to climb the red piece of equipment.,0.16
Two dogs play in the grass.,Two dogs are playing in the grass.,1.0
A child in a blue and white team uniform chasing a soccer ball.,A young boy in a blue soccer uniform chasing a ball.,0.8
A softball player swinging at a pitch.,A baseball player hitting the ball,0.56
A man is kite surfing away from the camera.,A man is sky surfing on the water.,0.56
A black dog is running in the grass.,A boy running through green grass.,0.2
A little boy and a little girl playing together outside.,A young boy and a young girl walking towards each other,0.4
Two people sit on the end of a dock.,Two people sitting on a dock.,0.84
Two dogs in a yard.,Two dogs in a stream.,0.4
A man chases a dog trying to pass the barrier to enter a play area.,A man follows his black and white dog as it takes on an obstacle course.,0.44
The large brown and white dog is running through the snow.,St. Bernard dog running in the snowy field.,0.8
A bloody man and woman pose for a picture.,A man in woman dressed warmly pose for a picture.,0.4
A yellow dog is playing in a grassy area near flowers.,A girl is playing on a swing.,0.08
a boy plays with a noodle by the pool.,A boy plays with a foam noodle toy by a pool.,0.92
two big brown dogs running through the snow.,A brown dog running through the grass.,0.4
A young boy jumps into a pool with outstretched arms.,A dog jumps into a backyard pool.,0.24
A girl holds up a yellow balloon animal.,A child holds a yellow balloon.,0.8
Two dogs share a toy in a field of vegetation.,Two snowboarders are in the air over the snow.,0.03
A blond haired lady in white poses for the camera.,A black and white dog runs with its mouth open.,0.0
A dog runs through a field chasing a ball.,A child runs through the grass.,0.04
Two girls are sitting in front of a statue.,Two blonde girls are sitting next to a statue,0.76
A girl in orange lights a candle.,A girl in an orange shirt lights candles.,0.8
A white dog runs through a field of yellow flowers.,A dog with a red collar runs in a forest in the middle of winter.,0.32
An infant sitting on a cot reaching over to touch the face of an older boy.,A boy who seems ill is being touched in the face by a toddler.,0.44
A dog shaking off water.,A dog shaking water off.,1.0
Young boys running along the pavement.,A black dog running along the edge of the ocean.,0.1
A young child slides down an orange slide.,A little boy in denim overalls slides down an orange slide.,0.73
a black and white dog running through some red and white poles,Black and white dog in living room standing on hind legs.,0.32
"Three individuals are posing on skis behind a ""no skiing"" sign.",Three people on skis are standing behind a no skiing sign.,0.88
A man in a white suit walks down the street holding a newspaper.,A man in a white suit walks outside carrying a newspaper.,0.92
A black dog with a blue collar is running in the snow.,A black dog wearing a blue collar is running through the snow.,1.0
A dog is running toward the camera.,A brown and white dog running on grass.,0.16
a boy swinging on a swing.,The girl is on a swing.,0.48
A group of youngsters swim in lake water,Many children are playing and swimming in the water.,0.88
A blue and white soccer team playing against each other.,A topless woman with her face painted is covered in mud.,0.0
A brown dog about to catch a green Frisbee.,A brown dog waits for the Frisbee to come down before catching it.,0.76
A black and white dog is swimming in a large green lake.,A black dog runs fast into shallow water.,0.44
Two large black dogs are playing in a grassy field.,Two white dogs are running together.,0.44
The brown and black dog sprints across the snow.,A black dog is running quickly along the ground.,0.56
The man in the backpack looks to his left.,An adult male wearing a backpack walks and looks to the left.,0.76
An elderly man in a blue shirt is holding up a piece of canvas art.,A black man is walking next to a building in a big city.,0.0
Two skinny young boys playing with sand in the water.,Two dogs are shaking water off.,0.08
A small dog runs through an obstacle course.,A small dog jumping over an obstacle.,0.76
A brown dog running through the woods.,A brown dog runs through the grass.,0.64
A group of people are standing by a window watching something.,A group of people stand and wait to see something.,0.68
A dog is jumping over a barrier at a agility competition.,A dog jumping over an obstacle course fence.,0.88
Three people racing on ice skates.,Three ice skaters round a corner.,0.64
Two women contestants are walking their dogs in a dog show.,Two women walk there dogs at a dog show.,0.96
Two men on the side of a barge,A man is lying the grass with long hair and beard.,0.0
A brown dog in running on grass.,A brown dog runs through the grass.,0.96
A person is riding their bike on a trail next to the woods.,A small child in a yellow shirt is holding their arms out to the sides.,0.08
A woman in a black dress smiles in front of a silver truck.,A girl wearing a black top is smiling with a silver truck in the background.,0.72
A dog is on the beach near a ball.,A guy is going up for a lay-up on a basketball court.,0.12
A dog bounds across the brown grass.,Two dogs bound across the grass.,0.52
a woman playing with two young boys at a park,A woman and three kids play at a park.,0.64
A dog emerges form the water with a stick in its mouth.,A dog runs toward the camera with a stick in its mouth.,0.48
Three dogs playing in the snow.,The boy is playing in the sand.,0.16
A dog carries a leash in its mouth.,A fluffy dog carries a black leash in its mouth.,0.84
A man in jeans is playing with a ball while a woman in jeans stands nearby looking away.,A man is tying a red arm band around another mans arm in the street.,0.0
A skier is falling into the snow.,A skier is falling face first into the snow.,0.8
A dog with a red toy in it's mouth.,A brown dog is carrying a stick in its mouth.,0.44
Two hockey players fighting on the ice.,Two hockey players in a struggle on the ice.,0.96
Two terriers play on the wood floor of their home.,Two puppies play with a red chew toy in a field.,0.32
Two dogs running through a field.,Two dogs play in a field.,0.84
A man in a gray suit locking up a bicycle,A man and a woman standing on a city street.,0.08
A man in a black leather jacket is sleeping in a subway car.,A man in a black leather jacket falls asleep on public transportation.,0.92
A dog leaping over a hurdle.,A dog leaps over the hurdle.,0.96
Two men are setting up some electronic equpitment,Two dogs are wrestling on the ground in the snow.,0.0
A black dog is walking on the grass with a stick in it's mouth.,A boy holds a net with a snake in it close to the ground.,0.0
A girl runs with dogs in a dry field.,A grey dog and a tan dog playing on a grassy field.,0.44
Two dogs playing in the snow.,Two black dogs in the snow.,0.8
A dog leaps off a dock and into the water.,The black dog leaps off the dock and into the water.,0.8
a group of old men walking down the street,A couple walking down the street.,0.4
Three dogs standing in snow next to a blue fence.,Three dogs play in the shallows next to a rocky shore.,0.44
A black and white dog is running through the field.,A black and white dog is running in the grass.,0.96
A boy in black waves his arms while other people are behind him on a field.,a man in a black shirt is roller blading past a bench in the city.,0.08
An elderly woman rides a bicycle along a city street.,An elderly woman walking uphill crossing the street.,0.4
A young boy is punching a yellow ball.,A small dog jumps over a yellow beam.,0.08
A group of young ballerinas are in a dance studio.,A group of young ladies in bikinis.,0.28
A young boy in a white dress shirt is playing on a grassy plain.,A woman is getting her hair done at a salon.,0.0
A man and a dog are playing tug of war.,A man dances on a colorful wall.,0.08
A wet child shivers under a towel at a pool.,A wet child is shivering in a towel in front of a pool.,0.92
A white dog runs on a beach.,The white dog is running along the beach.,1.0
Six dogs running on the sandy beach.,Six dogs walking beside the beach.,0.68
A man holds on to a handle in the water.,A man is holding onto handles in the air.,0.64
A white dog walking in the snow.,A black and tan dog walking through the snow.,0.6
The white and brown dog runs across the grass.,Three dogs are running on the grass.,0.64
A boy goes down an inflatable slide.,A boy in red slides down an inflatable ride.,0.76
Two dogs playing with a ball in a puddle.,"Two dogs stand in a puddle, and one has a yellow tennis ball.",0.76
Three dogs are playing in the water.,Three dogs run in the snow.,0.28
Two dogs playing in the snow.,Two kids playing with a dog.,0.24
A girl does a back bend on the beach.,A girl doing a back bend at the beach.,0.96
The two dogs are playing fetch in the snow.,Two dogs are playing together in the grass.,0.44
Two surfers on riding a small wave.,Two surfers perform tricks in the waves.,0.72
Two people walking on the beach at sunset.,Two people walking along the shore at sunset.,1.0
two puppies playing around in the grass,Two dogs are wrestling in the grass.,0.8
A young girl is sitting on Santa's lap.,A little girl is sitting on Santa's lap,0.96
A black and white dog runs with its mouth open.,A black and white dog swims in blue water.,0.44
A young boy jumping in the air at the beach.,A boy jumping in the air on the beach.,0.96
Five men in tuxedos are walking down steps.,Five men in tuxedos walk down a set of steps,1.0
Man in red shorts and white shirt kicking a soccer ball.,A black dog stands in the surf holding a red rubber ball.,0.0
A man and dog on a rocky seashore.,Man and dog standing on rocks next to water,0.96
Brown dog splashing into the water.,Four dogs splashing in the water,0.48
The smiling woman at the beach is buried in seaweed.,A girl in a cowboy hat with a sheep on a leash.,0.2
A dog with big ears is holding a small stick in it's mouth.,A puppy with big ears chewing on a stick.,0.76
The large brown dog is jumping through the tall grass.,The girl wearing a blue shirt is running through a science center.,0.0
Two dogs fighting in the snow.,Two dogs playing in the snow.,0.52
